id,trace,ts,bot_name,venue,base_amount,fill_price,latency
487,8185daced38541d29db83022dd227043,2025-12-04 12:52:03.921406+00,TT:MEGA:MEGA-USD,E,84,0.288,206.72493999973085
488,8185daced38541d29db83022dd227043,2025-12-04 12:52:03.921406+00,TT:MEGA:MEGA-USD,L,-84,0.29345,172.58350399970368
485,52873f78edc04b2da14afa266c88cf98,2025-12-04 12:52:03.69511+00,TT:MEGA:MEGA-USD,E,84,0.288,202.38268000048265
486,52873f78edc04b2da14afa266c88cf98,2025-12-04 12:52:03.69511+00,TT:MEGA:MEGA-USD,L,-84,0.29346,174.20715000025666
483,8aa30432fd994c008d818360f7ff2a02,2025-12-04 12:52:03.467885+00,TT:MEGA:MEGA-USD,E,84,0.288,213.0853919998117
484,8aa30432fd994c008d818360f7ff2a02,2025-12-04 12:52:03.467885+00,TT:MEGA:MEGA-USD,L,-84,0.29346,174.29823899965413
482,038313e51cca4e99a8c1a9a337f1d407,2025-12-04 12:52:03.230105+00,TT:MEGA:MEGA-USD,L,-84,0.29346,164.95634300008533
481,038313e51cca4e99a8c1a9a337f1d407,2025-12-04 12:52:03.230105+00,TT:MEGA:MEGA-USD,E,84,0.288,203.61039399995207
480,9546942b5a2b4544abbce920bcbb82c6,2025-12-04 12:52:03.16866+00,TT:MEGA:MEGA-USD,L,-0,0.28104,
479,9546942b5a2b4544abbce920bcbb82c6,2025-12-04 12:52:03.16866+00,TT:MEGA:MEGA-USD,E,0,0.29952,
478,730fde38b8404d47bfacc61d8b23d0a7,2025-12-04 12:52:03.124068+00,TT:MEGA:MEGA-USD,L,-0,0.2817312,
477,730fde38b8404d47bfacc61d8b23d0a7,2025-12-04 12:52:03.124068+00,TT:MEGA:MEGA-USD,E,0,0.29952,
475,1808a978ff664809accce43a27b9bfd9,2025-12-04 12:52:01.241745+00,TT:MEGA:MEGA-USD,E,0,0.29952,
476,1808a978ff664809accce43a27b9bfd9,2025-12-04 12:52:01.241745+00,TT:MEGA:MEGA-USD,L,-0,0.2817312,
473,9c1a0104abac48bba5b5f60054ea3851,2025-12-04 12:52:01.009279+00,TT:MEGA:MEGA-USD,E,0,0.29952,
474,9c1a0104abac48bba5b5f60054ea3851,2025-12-04 12:52:01.009279+00,TT:MEGA:MEGA-USD,L,-0,0.28172159999999996,
471,95a229eb1dab4f93910c793ef1aa495e,2025-12-04 12:52:00.804176+00,TT:MEGA:MEGA-USD,E,0,0.29952,
472,95a229eb1dab4f93910c793ef1aa495e,2025-12-04 12:52:00.804176+00,TT:MEGA:MEGA-USD,L,-0,0.28105919999999995,
470,f319f9dcc52e4d29ac01a18e8e08b07c,2025-12-04 12:52:00.410945+00,TT:MEGA:MEGA-USD,L,-0,0.28172159999999996,
469,f319f9dcc52e4d29ac01a18e8e08b07c,2025-12-04 12:52:00.410945+00,TT:MEGA:MEGA-USD,E,0,0.29952,
